lambda n k
3.100E-07 1.7406 0.96002
3.139E-07 1.76995 0.99513
3.179E-07 1.8055 1.02963
3.220E-07 1.84783 1.06225
3.263E-07 1.89725 1.09139
3.306E-07 1.95365 1.11518
3.351E-07 2.01628 1.13155
3.397E-07 2.08368 1.13851
3.444E-07 2.15357 1.13445
3.493E-07 2.22304 1.11853
3.542E-07 2.28889 1.09094
3.594E-07 2.34805 1.05304
3.647E-07 2.39809 1.00715
3.701E-07 2.4376 0.95628
3.757E-07 2.46625 0.90356
3.815E-07 2.48475 0.8519
3.875E-07 2.49453 0.8036
3.936E-07 2.49749 0.76032
3.999E-07 2.49571 0.72301
4.065E-07 2.49124 0.69201
4.133E-07 2.48604 0.66719
4.203E-07 2.48191 0.64797
4.275E-07 2.48044 0.6334
4.350E-07 2.483 0.6221
4.428E-07 2.49061 0.61228
4.509E-07 2.50379 0.60171
4.592E-07 2.52218 0.5878
4.679E-07 2.54437 0.56803
4.769E-07 2.56769 0.54044
4.862E-07 2.58858 0.50445
4.959E-07 2.60339 0.46125
5.061E-07 2.60948 0.41369
5.166E-07 2.60587 0.36545
5.276E-07 2.59334 0.31996
5.391E-07 2.57389 0.27967
5.510E-07 2.5499 0.24583
5.636E-07 2.52366 0.21871
5.767E-07 2.49704 0.19793
5.904E-07 2.47148 0.18285
6.048E-07 2.44815 0.17274
6.199E-07 2.42814 0.16692
6.358E-07 2.41284 0.16466
6.525E-07 2.40448 0.16474
6.702E-07 2.40661 0.16387
6.888E-07 2.42266 0.15213
7.085E-07 2.44158 0.10906
7.293E-07 2.41959 0.03979
7.514E-07 2.356 0.00267
7.749E-07 2.30002 0.0
7.999E-07 2.2625 0.0
8.266E-07 2.23681 0.0
8.551E-07 2.21766 0.0
8.856E-07 2.20229 0.0
9.184E-07 2.18927 0.0
9.537E-07 2.17784 0.0
9.919E-07 2.16758 0.0
1.033E-06 2.15821 0.0
1.078E-06 2.14957 0.0
1.127E-06 2.14154 0.0
1.181E-06 2.13403 0.0
1.240E-06 2.12697 0.0
1.305E-06 2.12032 0.0
1.378E-06 2.11403 0.0
1.459E-06 2.10808 0.0
1.550E-06 2.10242 0.0
1.653E-06 2.09704 0.0
1.771E-06 2.09191 0.0
1.907E-06 2.08701 0.0
2.066E-06 2.08233 0.0
