lambda n k
3.000E-07 1.462506 0.950559
3.050E-07 1.455528 0.988319
3.100E-07 1.453246 1.031065
3.150E-07 1.453242 1.07834
3.200E-07 1.45716 1.130054
3.250E-07 1.466037 1.186321
3.300E-07 1.481386 1.246986
3.350E-07 1.505 1.311476
3.400E-07 1.538863 1.378602
3.450E-07 1.58495 1.446359
3.500E-07 1.644824 1.511736
3.550E-07 1.719141 1.570729
3.600E-07 1.807058 1.618684
3.650E-07 1.905776 1.650985
3.700E-07 2.010535 1.664602
3.750E-07 2.115114 1.656616
3.800E-07 2.213121 1.630941
3.850E-07 2.299408 1.589216
3.900E-07 2.371014 1.536968
3.950E-07 2.42732 1.479394
4.000E-07 2.469529 1.421011
4.050E-07 2.499491 1.365408
4.100E-07 2.519723 1.314722
4.150E-07 2.533154 1.269779
4.200E-07 2.542036 1.230727
4.250E-07 2.548038 1.197542
4.300E-07 2.552931 1.169596
4.350E-07 2.557466 1.146057
4.400E-07 2.562718 1.126324
4.450E-07 2.569076 1.109546
4.500E-07 2.577015 1.09507
4.550E-07 2.586687 1.082172
4.600E-07 2.598195 1.070224
4.650E-07 2.611641 1.058793
4.700E-07 2.626756 1.047148
4.750E-07 2.64364 1.035098
4.800E-07 2.661826 1.021992
4.850E-07 2.681321 1.007693
4.900E-07 2.701594 0.991777
4.950E-07 2.722541 0.974106
5.000E-07 2.743611 0.954504
5.050E-07 2.764652 0.93285
5.100E-07 2.785069 0.90922
5.150E-07 2.8048 0.883496
5.200E-07 2.823139 0.856031
5.250E-07 2.840281 0.826664
5.300E-07 2.855324 0.795998
5.350E-07 2.868871 0.763854
5.400E-07 2.879816 0.730906
5.450E-07 2.889106 0.697146
5.500E-07 2.895884 0.662966
5.550E-07 2.899469 0.628825
5.600E-07 2.901971 0.594622
5.650E-07 2.902492 0.561047
5.700E-07 2.900296 0.527962
5.750E-07 2.896462 0.495673
5.800E-07 2.891598 0.464562
5.850E-07 2.884266 0.434361
5.900E-07 2.875694 0.405466
5.950E-07 2.866255 0.377939
6.000E-07 2.855413 0.351582
6.050E-07 2.843893 0.326708
6.100E-07 2.831721 0.303208
6.150E-07 2.818785 0.280933
6.200E-07 2.805529 0.26009
6.250E-07 2.791992 0.240555
6.300E-07 2.778102 0.222148
6.350E-07 2.764137 0.205
6.400E-07 2.750202 0.189061
6.450E-07 2.736183 0.174089
6.500E-07 2.722247 0.160157
6.550E-07 2.708533 0.147297
6.600E-07 2.694931 0.135265
6.650E-07 2.681507 0.124053
6.700E-07 2.668369 0.113713
6.750E-07 2.655512 0.104144
6.800E-07 2.642881 0.0952
6.850E-07 2.63054 0.086915
6.900E-07 2.618552 0.079317
6.950E-07 2.606856 0.072257
7.000E-07 2.595441 0.06568
7.050E-07 2.584346 0.059612
7.100E-07 2.573602 0.054069
7.150E-07 2.563153 0.04892
7.200E-07 2.552989 0.04413
7.250E-07 2.543129 0.039722
7.300E-07 2.533595 0.035716
7.350E-07 2.524349 0.032019
7.400E-07 2.515365 0.028579
7.450E-07 2.506654 0.025416
7.500E-07 2.498227 0.02255
7.550E-07 2.490077 0.019962
7.600E-07 2.482162 0.017552
7.650E-07 2.474482 0.015332
7.700E-07 2.467042 0.013323
7.750E-07 2.459848 0.011546
7.800E-07 2.452877 0.009941
7.850E-07 2.446105 0.008451
7.900E-07 2.439533 0.007098
7.950E-07 2.433164 0.005904
8.000E-07 2.426997 0.004893
8.050E-07 2.421016 0.004
8.100E-07 2.415201 0.003168
8.150E-07 2.409551 0.002425
8.200E-07 2.404067 0.001802
8.250E-07 2.398748 0.001329
8.300E-07 2.393587 0.000995
8.350E-07 2.388563 0.000689
8.400E-07 2.383675 0.000419
8.450E-07 2.378921 0.000203
8.500E-07 2.374299 5.84e-05
8.550E-07 2.369809 3.1e-06
8.600E-07 2.365439 2.12e-06
8.650E-07 2.361178 1.37e-06
8.700E-07 2.357026 7.87e-07
8.750E-07 2.352979 3.65e-07
8.800E-07 2.349038 1.03e-07
8.850E-07 2.345201 1.61e-09
8.900E-07 2.34146 0.0
8.950E-07 2.337807 0.0
9.000E-07 2.33424 0.0
9.050E-07 2.330757 0.0
9.100E-07 2.327357 0.0
9.150E-07 2.32404 0.0
9.200E-07 2.320802 0.0
9.250E-07 2.317636 0.0
9.300E-07 2.314538 0.0
9.350E-07 2.311507 0.0
9.400E-07 2.308542 0.0
9.450E-07 2.305642 0.0
9.500E-07 2.302807 0.0
9.550E-07 2.300033 0.0
9.600E-07 2.297317 0.0
9.650E-07 2.294654 0.0
9.700E-07 2.292043 0.0
9.750E-07 2.289485 0.0
9.800E-07 2.286978 0.0
9.850E-07 2.284521 0.0
9.900E-07 2.282114 0.0
9.950E-07 2.279755 0.0
1.000E-06 2.277438 0.0
1.005E-06 2.275164 0.0
1.010E-06 2.27293 0.0
1.015E-06 2.270737 0.0
1.020E-06 2.268585 0.0
1.025E-06 2.266471 0.0
1.030E-06 2.264397 0.0
1.035E-06 2.262361 0.0
1.040E-06 2.26036 0.0
1.045E-06 2.258391 0.0
1.050E-06 2.256455 0.0
1.055E-06 2.25455 0.0
1.060E-06 2.252678 0.0
1.065E-06 2.250837 0.0
1.070E-06 2.249027 0.0
1.075E-06 2.247247 0.0
1.080E-06 2.245498 0.0
1.085E-06 2.243775 0.0
1.090E-06 2.242078 0.0
1.095E-06 2.240407 0.0
1.100E-06 2.238761 0.0
1.105E-06 2.23714 0.0
1.110E-06 2.235543 0.0
1.115E-06 2.233972 0.0
1.120E-06 2.232424 0.0
1.125E-06 2.230901 0.0
1.130E-06 2.229402 0.0
1.135E-06 2.227923 0.0
1.140E-06 2.226464 0.0
1.145E-06 2.225026 0.0
